Season;Direction;Player;Age;Position;Nationality;From Club;To Club;Fee (raw);Fee Type;Fee (EUR);Market Value
2016/17;Arrival;Taleb Tawatha;24;Left-Back;Israel;Maccabi Haifa;;ýýý1.20m;transfer;1200000.0;ýýý1.20m
2016/17;Arrival;Omar Mascarell;23;Defensive Midfield;Equatorial Guinea;Real Madrid;;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2016/17;Arrival;Andersson Ordï¿½ï¿½;22;Centre-Back;Ecuador;Barcelona SC;;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2016/17;Arrival;Marius Wolf;21;Right-Back;Germany;Hannover 96;;Loan fee:ï¿½ï¿½ï;loan;500000.0;Loan fee:ï¿½ï¿½ï
2016/17;Arrival;Max Besuschkow;19;Central Midfield;Germany;Stuttgart II;;ýýý100k;transfer;100000.0;ýýý100k
2016/17;Arrival;Branimir Hrgota;23;Centre-Forward;Sweden;Bor. M'gladbach;;free transfer;free;0.0;free transfer
2016/17;Arrival;Danny Blum;25;Left Winger;Germany;1.FC Nuremberg;;free transfer;free;0.0;free transfer
2016/17;Arrival;Michael Hector;24;Centre-Back;Jamaica;Chelsea;;loan transfer;loan;;loan transfer
2016/17;Arrival;Shani Tarashaj;21;Second Striker;Switzerland;Everton;;loan transfer;loan;;loan transfer
2016/17;Arrival;Jesï¿½ï¿½ï¿½ï¿;19;Centre-Back;Spain;Real Madrid;;loan transfer;loan;;loan transfer
2016/17;Arrival;Ante Rebiï¿;22;Left Winger;Croatia;Fiorentina;;loan transfer;loan;;loan transfer
2016/17;Arrival;Guillermo Varela;23;Right-Back;Uruguay;Man Utd;;loan transfer;loan;;loan transfer
2016/17;Arrival;Furkan Zorba;18;Centre-Back;Germany;Frankfurt U19;;-;undisclosed;;-
2016/17;Arrival;Aymen Barkok;18;Attacking Midfield;Morocco;Frankfurt U19;;-;undisclosed;;-
2016/17;Arrival;Leon Bï¿½ï¿;18;Goalkeeper;Germany;Frankfurt U19;;-;undisclosed;;-
2016/17;Arrival;Joel Gerezgiher;20;Attacking Midfield;Germany;FSV Frankfurt;;End of loan30.06.2016;loan_return;0.0;End of loan30.06.2016
2016/17;Departure;Carlos Zambrano;26;Centre-Back;Peru;;Rubin Kazan;ýýý3.50m;transfer;3500000.0;ýýý3.50m
